Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Michael White,32,7896.65,0,7.12,8,10/17/2015 17:47,"48465 Susan Summit Suite 561 Hawkinston, WY 60818",Hawkins-Mckay,0
William Pacheco,36,12086.92,1,5.52,6,3/11/2008 20:48,"PSC 6149, Box 2267 APO AA 69767-2977",Wilkerson-Miller,0
Dr. Brandon Adams,42,10500.77,0,5.68,6,6/22/2013 6:20,"93971 Jacob Flats Port Shannonton, IN 95823-2039",Friedman-Carroll,0
William Burns,38,7673,1,7.42,7,2/25/2006 19:40,"432 Allen Station North Rebecca, MA 78424-2850","Santos, Hughes and Miller",0
Jack Ortega,42,14242.7,0,5.79,10,6/9/2009 7:44,"49625 Joseph Mountain West Brandon, AL 19037-8797",Anderson-Evans,0
Jonathan Cooley,40,6590.63,1,4.52,7,3/12/2012 14:56,"3012 Kimberly Lights West Teresa, CA 83239",Larsen-Johnson,0
Erin Norris,37,15070.32,0,6.91,6,1/2/2016 16:43,"081 Randy Crest Apt. 821 South James, LA 27688-1775",Garcia LLC,0
Michael Grant,37,13717.41,1,6.5,7,3/31/2014 8:16,"2978 Luke Cape Tracyfort, NJ 87595-8510","Flores, Davis and Duncan",0
Connor Knapp,41,9219.95,1,5.21,10,9/21/2015 16:18,"7805 Kerri Route Marystad, UT 08020","Smith, Simpson and Wolf",0
Megan Jenkins,65,10430.5,0,6.5,6,3/10/2013 14:36,"3462 Teresa Falls Apt. 035 Charlesview, MS 09689-7606",Bates-Ramos,0
Sarah Hall,45,5200.06,1,6.33,8,5/5/2014 13:36,"3930 Baker Square North Michaelside, PR 98680",Sanchez-Brown,0
Tony Schneider,43,11197.42,1,3.48,9,4/30/2009 13:55,"329 Pierce Place Apt. 176 North Tammybury, WV 17594",Harper-Noble,0
Karen Peterson,45,13650.64,0,4.96,8,4/5/2010 2:15,"1721 Diana Canyon Suite 811 Dukemouth, NC 04129-3149","Moore, Donaldson and Stevens",0
Tiffany Case,42,7351.72,0,5.26,9,9/26/2015 1:05,"0792 Denise Lodge Apt. 903 Jenniferchester, HI 96154-9657",Clark Inc,0
Mary Sanchez,33,10306.21,1,6.36,9,12/20/2011 17:01,"073 Joseph Knolls Apt. 112 West Mary, NV 59877","Smith, Wright and Price",0
David Moran,37,10147.22,0,6.63,8,7/2/2014 6:46,"278 Barbara Divide Suite 780 North Elizabeth, SC 44587-8722","Harris, Mcdonald and Johnson",0
David Lopez,48,10528.71,0,5,9,9/17/2007 5:36,"1630 Robert Points Apt. 793 East Jonathonberg, NH 78592-4122",Good Inc,0
Cynthia Nguyen,41,10054.6,1,4.93,6,4/28/2015 16:20,"PSC 5666, Box 1288 APO AE 26505",Sullivan-Weaver,0
Brittany Smith,45,8595.24,0,6.4,10,11/8/2012 6:43,"151 Sara Springs Lake Davidside, AK 46384-8806",Patrick-Walker,0
Laura Smith,45,6681.61,1,5.6,8,6/16/2010 21:05,"1723 Galloway Groves Apt. 026 Timothystad, PR 36052-9128","West, Gonzales and Shields",0
Michael Dominguez,29,10203.18,1,5.82,8,1/3/2014 23:18,"3043 Walters Loaf Suite 575 Christophermouth, TN 25692",Guzman-Hunter,0
Paul Wagner,42,10427.12,0,6.64,10,6/4/2011 23:57,"49936 Colleen Stream Port Elizabeth, MN 80287-5385","Santos, Jackson and Guerrero",0
Calvin Coleman,39,10388.38,0,5.1,7,7/9/2013 16:29,Unit 9127 Box 5819 DPO AE 24161,Stark-Clarke,0
Lisa Burton,39,9353.38,0,4.06,7,2/4/2014 2:19,Unit 9800 Box 2878 DPO AA 75157,Smith-Alexander,0
John Gonzales,42,11756.06,0,4.88,8,7/31/2014 14:15,"3880 Denise Curve South Christopher, NC 79432","Martin, White and Hernandez",0
Linda Hubbard,40,12295.95,1,5.69,11,1/8/2010 23:22,"8983 Benjamin Run South Kelseytown, AZ 03915",Vincent Group,0
Rachel Hull,40,7819.46,1,4.77,9,7/3/2014 11:47,"02794 Edward Summit Suite 660 Victoriahaven, TN 44165",Taylor LLC,0
Tracy Ray,34,10674.92,1,3.09,9,8/15/2006 20:48,Unit 3715 Box 1153 DPO AA 36768-7501,Wise Inc,0
Sarah Bailey,37,10989.43,0,6.62,10,7/14/2013 15:25,"56493 Becker Stravenue Suite 006 West Anna, MS 49275",Spencer and Sons,0
Aaron King,46,7504.79,0,5.98,8,5/13/2007 20:42,"38346 Smith Prairie Arnoldside, MD 33861-4885",Hernandez PLC,0
Bradley Washington,46,9306.05,0,5.35,7,1/1/2016 18:31,"149 Paula Divide Vazquezfurt, MN 57597-1890",Smith and Sons,0
Holly Caldwell,37,11523.63,1,3.56,7,10/29/2014 11:21,"020 Amy Groves Suite 845 Phillipsport, AL 40594","Spencer, Young and Shaw",0
Cheryl Bruce,44,9613.84,1,4.38,8,6/18/2014 19:25,"PSC 5054, Box 2004 APO AP 20629","Oconnor, Hernandez and Bailey",0
Megan Flynn,48,13298.38,0,2.99,8,12/6/2015 16:55,"86354 Brenda Manor Port Stevenmouth, NC 39915","Smith, Shelton and Williams",0
Amanda Williams,37,8614.75,0,5.03,9,7/7/2011 15:43,"79676 Johnson Villages Apt. 089 Reyesstad, DC 78510",Jones-Fisher,0
Amy Morris,45,9951.97,1,4.4,6,4/1/2015 19:58,"017 Gutierrez Fork New Benjamin, VA 99400","Patel, Smith and Campos",0
Teresa Garcia,46,11343.33,1,3.69,8,9/20/2012 5:52,"2374 Jackson Walks Larryberg, PW 89438-7588",Ibarra and Sons,0
Thomas Mcintosh,38,10026.44,1,6.85,9,1/12/2014 2:04,"510 Alexander Pike New Scottfort, NV 46217-8559",Garrett Ltd,0
Justin Friedman,38,8473.65,1,4.78,7,11/29/2010 19:37,"9195 Erin Terrace Suite 818 Lake Feliciaberg, NV 64016-8747",Garcia-Johnson,0
Whitney Beasley,42,12989.06,0,5,10,3/15/2010 16:50,"PSC 3448, Box 5424 APO AE 92778-0504",Knight Inc,0
Beverly Perry,38,12893.47,1,5.69,5,11/20/2012 5:53,"3145 Cruz Mill North Deborahstad, AR 02085",Mathis Ltd,0
David Sweeney,34,7324.32,0,6.69,10,12/16/2014 2:23,"755 Ashley Motorway Suite 227 West Rachel, NH 67933-7552","Adams, Dominguez and Vasquez",0
Amber Williams,40,8530.23,1,3.66,10,3/2/2012 18:33,"2896 Diana Spur Suite 985 New Tami, IN 56915","Lee, Daniels and Ryan",0
Lisa Murray,46,10675.86,0,3.33,7,12/6/2014 22:07,"943 Briana Circles Lake Joseph, UT 22842-6913","Herring, Lee and Taylor",0
Jose Hoffman,43,10300.24,0,6.44,8,6/15/2008 13:51,"244 Johnson Court Lake Justin, MD 66889-8251",Rice PLC,0
Regina Kirby,41,10921.54,0,5.07,3,9/4/2015 11:32,"310 Amy Underpass Suite 089 Lake Kevin, DC 23138-4553",Schaefer-Berry,0
Shawn Ramirez,42,10527.52,1,8.42,8,2/3/2008 2:07,"7873 Trevino Tunnel Angelamouth, AZ 84280","Gilbert, Bennett and Lindsey",0
Ruben Thomas,44,8338.05,0,6.57,11,2/15/2008 18:36,"919 Bennett Gateway Russochester, SC 57606",Cohen-Rodriguez,0
Austin Palmer,36,9593.71,0,3.98,6,3/21/2009 0:05,"85112 Raymond Ridge Suite 934 East Christinachester, CO 33248",Lynch-Davies,0
Anthony Hall,46,11537.69,1,6.37,7,1/24/2011 7:40,"0910 Bell Mount West Lindseyview, MS 35802",Kelly Group,0
Richard Gardner,35,12936.64,1,3.73,6,7/31/2010 2:11,"617 Diane River Lake Jillianton, TX 91296-2338",Alexander-Reed,0
Destiny Morales,40,8815.24,0,5.63,9,11/15/2012 4:23,"108 Oscar Rapids Port Vanessa, KY 23348-6290","Martin, Flores and Graham",0
Brittany Murphy,42,12300.94,1,6.89,10,6/19/2007 9:53,"892 Elizabeth Mission Apt. 511 West Leslieville, WA 98000-6023","Schmidt, Johnston and Kaufman",0
Tony Soto,35,11830.36,1,4.41,6,10/1/2006 16:57,"227 Jennifer Park Smithbury, TN 22659-9788",Nichols-Wade,0
Sharon Torres,36,14715.53,1,5.73,9,1/31/2014 0:05,"983 Carl Run Apt. 446 West Christina, NM 45895","Blanchard, Hawkins and Torres",0
Brenda Fuentes,44,9214.98,1,6.44,7,3/4/2016 14:24,"443 Shari Plains Apt. 479 Tiffanyside, TN 88122","Boyd, Jennings and Gutierrez",0
Rodney Evans,49,8092.13,0,6.32,5,10/22/2011 19:12,"025 Ricky Ford East John, AS 71101-1423",Simmons Inc,0
Robin Woods,41,12008.34,1,4.94,7,12/24/2009 12:36,"404 Joshua Estate Apt. 074 Jacobsonside, CT 88758-3164",Bright PLC,0
Jennifer Anderson,38,11803.58,1,6.97,6,12/15/2015 11:48,"521 Charles Lakes Lake Michaelland, NE 42708","Stewart, Sanchez and Valentine",0
Tabitha Love,37,13498.28,1,7.06,9,11/23/2007 13:38,"8308 Rhodes Crest Apt. 745 Beckyfurt, KS 20974-1928",Stein PLC,0
Diana Carroll,46,9601.95,0,5.9,9,8/10/2011 4:56,"3270 Barnes Station Suite 780 Lake Blake, TN 43554-9146",Rubio-Humphrey,0
Matthew Jacobs,54,13184.51,0,6.04,8,3/20/2013 17:57,"507 Harris Summit East Kevin, WY 06036-0197","Nichols, Carter and Goodman",0
Rebecca Prince,36,4690.57,1,5.41,8,1/25/2012 0:45,"209 Daniel Springs Suite 388 Port Courtneybury, PW 27640-7474",Sandoval-Mcgrath,0
Eric Smith,37,11416.56,0,6.06,6,4/3/2006 4:29,"166 Julie Vista Apt. 132 Lake Sarahborough, HI 29875",Thomas-Curtis,0
Jeffrey Hernandez,56,9940.54,1,6.57,7,3/4/2014 7:00,"2739 Jackson Mission Rojashaven, WI 86960",Thompson-Elliott,0
William Newman,35,13680.25,1,5.79,9,10/7/2011 15:43,"3785 Duran Lodge Port Nicholashaven, MH 08892-1815",Williams-Charles,0
Ashley Smith,29,5900.78,1,5.56,8,9/19/2007 6:55,"663 White Tunnel Suite 995 Port Joseph, PR 93959-2444","Jones, Reyes and Cross",0
Sandra Mcintyre,36,10339.05,1,6.88,7,8/2/2010 9:34,"10676 Ferguson Ranch Suite 380 Lake Parker, OH 23498",Cowan Inc,0
Robert Joseph,46,11538.57,1,7.93,10,4/3/2015 16:15,"95222 Lisa Turnpike South Laurenburgh, NC 33273-8443",Cortez Inc,0
George Chavez,43,7178.92,1,5.32,8,12/15/2007 0:13,"63837 Jessica Valleys Apt. 645 East Jasmine, WV 26260-6871","Rodriguez, Moore and Cunningham",0
Joshua Walters,51,8840.51,0,2.7,7,8/28/2012 14:56,USS Mcdonald FPO AA 93590,Bennett Ltd,0
John Howard,47,14154.26,0,4.73,9,8/19/2012 15:56,"PSC 9026, Box 5801 APO AE 43474",Cantu Inc,0
Deborah Howell,42,10583.76,0,6.51,9,8/18/2006 5:47,"9609 Harper Dale New Danieltown, AR 80238-4616",Ortiz Ltd,0
Terry Diaz,46,11401.63,0,6.13,5,6/30/2014 15:46,USNV Rose FPO AP 67907-1654,"Charles, Cruz and Marshall",0
Roberto Gonzales,41,7495.6,1,6.57,8,11/29/2009 8:47,"13697 Hale Burgs Apt. 574 Jamesfort, UT 03958-6187",Davis and Sons,0
Jesse Mitchell,36,8878.96,1,4.66,9,6/24/2016 8:32,"4563 Rebecca Rest Lisaville, GA 03268","Dunn, Hopkins and Adams",0
Linda Allen,37,11111.59,1,6,7,11/1/2013 0:22,"9111 Harris Throughway Roblesfurt, MA 91589",Butler-Alexander,0
Heather Hernandez,42,8519.64,0,3.99,8,3/1/2006 7:20,"6815 Andrea Isle Lindseyborough, OR 26077-2763","Carr, Esparza and Flores",0
Ryan Chapman,44,12361.42,1,3.7,10,11/13/2014 21:11,"PSC 3188, Box 1421 APO AA 49368-5290",Williams Ltd,0
Anthony Mooney,41,9014.9,1,4.45,7,11/19/2010 4:30,"9131 Russell Court Suite 160 South Michellefurt, PW 79597",Knight-Price,0
Timothy Henry,42,6081.5,0,3.73,8,4/22/2011 16:14,"73765 Crystal Terrace Apt. 641 Ramirezfort, GU 82626-0948","Norris, Chavez and Martinez",0
Vanessa Hayes,43,10944.65,1,2.62,9,6/24/2010 21:15,"820 Kristin Lock Suite 348 Emilyhaven, WI 45502-8866",Casey-Stevens,0
Timothy Jacobs,40,11764.35,1,5.54,9,9/16/2006 5:57,"835 Potter Field Apt. 413 Port Kristina, IL 58467",Lawson-Jones,0
Austin Melendez,44,12155.91,1,4.11,5,7/30/2009 18:11,"697 Mcdowell Pike Lake Phillip, LA 32009-7853","Carlson, Ramos and Johnson",0
Brittany Green,41,11971.75,1,5.38,7,2/13/2011 18:26,"1241 Wiley Motorway Prattchester, TN 32961-5246","Smith, Stein and Mueller",0
Michael Perry,41,14080.95,1,4.61,7,6/9/2015 20:51,Unit 2093 Box 1530 DPO AA 53596-7800,Stone PLC,0
Theresa Martinez,41,6204.86,1,6.08,8,5/12/2016 17:50,"21267 Nixon Coves Moorestad, NH 93322-8817",Howell-Valdez,0
Jessica Gutierrez,39,4994.48,0,5.02,8,7/29/2016 12:56,"0347 Glenn Springs Kellyview, GU 58381-4038",Moreno-Sharp,0
James Franklin,36,11047.43,0,5.98,8,4/11/2006 5:00,"399 Herbert Key Port Thomas, PR 14265","Wright, Myers and Garcia",0
Julie Francis,40,12925.64,0,4.04,7,3/16/2013 6:25,"6656 Edward Manors Apt. 704 Flynnshire, GA 70372","Frank, Knox and Robinson",0
Marissa Nguyen,36,8233.25,1,4.35,7,8/24/2013 22:54,"8541 King Spur Suite 184 Aliciafurt, AZ 39457",Mueller LLC,0
Marie Bauer,39,9282.33,0,4.52,11,4/8/2009 21:56,"8923 Nunez Cove Apt. 302 New Allisonmouth, MP 01493",Bell-Kelly,0
Thomas Brown,46,13383.25,1,5.27,9,4/6/2010 23:18,"5098 Daniel Village Apt. 434 North Josephmouth, NJ 26103-2939",Brown-Estrada,0
Julie Moore,40,8911.91,0,6.99,10,11/20/2014 15:27,"67368 Karen Ford Suite 722 Gonzalezfort, MH 57379-8391",Huynh Inc,0
Nicole Jacobson,41,8783.13,1,6.2,7,10/8/2009 16:00,"029 Bill Alley Apt. 087 West Kenneth, UT 32896","Hoffman, Leach and Smith",0
John Davis,35,12654.35,0,1.66,7,11/1/2011 14:43,"88854 Sarah Lake Suite 435 Lake Steven, MD 39080",Gordon-Pruitt,0
Crystal Mccullough,40,6773.23,1,4.29,11,10/17/2006 12:23,"323 Adams Circles Andersonmouth, VI 05122-6749",Hall-Branch,0
Michael Patterson,31,9574.89,0,7.34,8,1/27/2009 11:02,"8392 Heather Camp Mackenziefurt, NE 44919-3028","Anderson, Brown and Montes",0
Brianna White,45,9722.92,1,3.35,8,1/7/2006 19:04,"087 Kimberly Ridges Thomasbury, MA 73601",Alexander LLC,0
Austin Hays,41,9516.87,0,4.94,7,6/15/2008 3:31,"55004 Schmidt Fort Apt. 448 North Samanthaland, AR 63822",Austin Ltd,0
Tammy Kelley,38,6638.87,1,5.61,8,7/20/2014 9:42,"41822 Wright Loop Apt. 718 West Kendrabury, CO 10948-4798",Smith and Sons,0
Monique Delgado,30,10960.52,1,5.96,9,3/4/2007 2:41,"781 Cassie Flat Austinville, AS 10515-8328",Silva-Guerra,0
Timothy Mcdonald,52,11093.87,0,4.38,5,9/30/2016 14:28,"6685 Marie Unions Suite 385 West Kevinfort, MS 77092-9463",Smith-Hawkins,0
Donald Barrett,51,10323.07,1,7.03,9,1/14/2014 10:48,"107 Melissa Manors Suite 419 East Teresashire, ME 40421-3419",Zhang-Brown,0
Darin Alexander,43,15858.91,1,4.51,8,8/11/2008 2:19,"82216 Garrison Coves Apt. 482 Heathertown, MS 60762",Anderson Group,0
Joseph Taylor,40,11309.18,0,4.91,7,8/7/2008 15:34,"170 Kenneth Flats South James, AL 78065",Robertson-Nelson,0
Catherine Martin,32,12142.99,0,5.01,7,7/4/2013 23:28,"75224 Powell Point Apt. 653 Lake Norma, AZ 05753",Lee Inc,0
Amber Carr,44,10965.95,1,4.11,8,7/3/2012 18:49,"95266 Mary Fort West Kennethmouth, WV 43523","Davis, Mccormick and Carson",0
Brenda Walls,51,10877.81,1,8.35,8,5/10/2006 4:40,"078 Nunez Haven Suite 032 East Bradley, SC 36621-1197","Jones, Black and Schneider",0
Carol Young,38,7491.55,0,5.66,12,7/28/2015 21:21,"31037 Gregory Creek Brooksmouth, FL 10099",Dunn LLC,0
James Shah,47,9324.49,1,4.91,6,11/28/2007 21:26,"66256 Danielle Ford New Maureen, MS 47550","Wilson, Collins and Lee",0
Julie Mitchell,45,9034.21,0,6.89,9,6/20/2011 1:07,"8195 Alan Junctions Lake Angela, SC 48151-1612",Jenkins-Johnson,0
Martha Green,54,11856.28,0,6.19,8,3/14/2014 17:28,USCGC Patrick FPO AP 72386,"Anderson, Webb and Gordon",0
John Long,41,9191.02,1,5.89,9,6/10/2013 16:50,"3142 Michael Shores Apt. 648 Port Kyleview, MA 08135-5259","Hernandez, Peck and Martin",0
Ricky Stewart,41,10617.16,0,6.26,8,4/28/2006 11:11,"927 Joseph Lights Lake Anthonyborough, ID 34724","Sutton, Black and Tate",0
Cassandra Proctor,49,11321.2,0,4.89,10,3/7/2006 0:11,"1780 Sherry Circle Ruizbury, WI 73815-9062","Smith, Moran and Gonzales",0
Kenneth James,41,15516.52,0,3.53,10,1/7/2016 7:31,Unit 7222 Box 4339 DPO AP 13281,Wright Group,0
Shawn Hughes,52,5647.92,0,5.08,8,3/16/2009 0:10,"89503 Hurley Wells Suite 603 Port Garrettmouth, MI 00879",Powell-Medina,0
Kim Adams,30,8677.28,1,7.31,7,10/13/2006 13:08,"766 Vanessa Villages West Michelle, VA 51730","Wiley, Macdonald and Lewis",0
Katie Wagner,43,15423.03,1,2.41,7,5/26/2007 3:19,"4331 Tyler Fall Williamfurt, NC 10542-4839","Galloway, Thornton and Diaz",0
Joshua Cole,38,8097.01,0,4.32,7,12/15/2011 7:22,"65431 Elizabeth Rest Apt. 912 Lake Stephanie, SD 65477-1657",Miller LLC,0
Tony Mathews,47,9148.74,1,6.38,8,3/26/2012 6:23,"8471 Jason Spur Jasminemouth, AL 19070","Navarro, Williams and Escobar",0
Andrew Kent,45,12374.97,0,4.66,7,12/24/2011 17:00,"79904 Jacobson Wells Apt. 852 Josephfort, NV 94414","Briggs, Cross and Norris",0
Nancy Riley,36,8646.72,0,6.33,8,4/23/2007 20:03,"65795 Shepard Flats New Sheila, NJ 22914-4957","Thompson, Mendez and Morales",0
Dr. Tina Le,53,10338.09,1,5.07,7,4/7/2007 9:21,"94016 Hill Village Suite 984 New Kristyfort, TN 68508-8351",Steele LLC,0
Jonathan Brown,38,13019.89,1,6.65,8,1/24/2011 12:28,"073 Ryan Haven Suite 323 New Jonathan, DC 25812-0853",Munoz-Pearson,0
Amy Baldwin,41,13743.42,0,3.92,9,11/1/2009 10:37,"596 Erica Route Apt. 258 New Janice, IN 57273",Morgan-Garcia,0
Gary Bryant,39,8646.2,0,2.94,9,7/21/2010 16:56,"636 John Road Suite 304 Morrisonshire, MN 04090-3035",Newman-Phillips,0
Jeffrey Thompson,42,6523.74,0,2.71,8,6/6/2013 3:51,"7280 Douglas River Apt. 701 Suzanneport, KS 56534","Peters, Rodriguez and Smith",0
Johnny Watts,56,8626.48,1,5.07,7,6/13/2011 5:25,"62761 Edwin Overpass Joshuabury, PA 98754-4095","Jacobs, Martinez and Bond",0
Stephanie Juarez,41,5191.08,0,6.29,7,12/7/2016 2:57,"026 Brown Springs Suite 306 Lindsayville, MD 06840","Gonzalez, Willis and Moody",0
James Velazquez,38,7097.52,1,4.68,6,8/11/2009 9:43,"91449 Warren Land Hallberg, SD 39520-2416","Williams, Wilcox and Mitchell",0
Erin Hall,41,13277.82,0,4.84,9,2/21/2009 5:30,"43775 Michael Curve Apt. 937 South Patricia, MN 13454-1801",Lawson-Carter,0
Justin Campos,53,3263,1,2.77,9,11/11/2013 22:49,"3483 Davis Viaduct Guzmanmouth, RI 60858",Hall-Butler,0
Jessica Flores,52,14669.61,0,6.28,9,8/30/2012 14:53,"38975 Jennifer Harbor Apt. 491 West Cody, WA 38692-1960",Wright Ltd,0
Richard Bell,47,13359.2,1,4.55,8,7/29/2016 8:39,"007 Davis Squares Flynnchester, SC 79849",Anderson Group,0
Betty Bowers,43,12078.39,1,6.06,6,10/31/2014 16:00,"79062 Henson Expressway Williamsview, PR 54326-7935",Davis Ltd,0
Rebekah Burns,48,8513.75,1,8.24,10,11/19/2009 11:01,"81006 Armstrong Falls Suite 944 New Kellyborough, SD 34820-7157","Bruce, Craig and Fletcher",0
James Rivas,38,9557.2,0,4.47,8,1/10/2007 7:29,"90866 Harmon Radial North Jennifermouth, MI 55389","Allen, Hernandez and Bryant",0
Robert Terry,44,6517.22,0,4.55,12,4/23/2010 0:50,"3480 Joseph Hollow South Stanley, ME 17014-2360",Cole-Hartman,0
Christian Mann,40,4762.81,1,5.12,10,3/10/2008 1:30,"53545 Susan Views Suite 594 New Pamela, OK 73980-0288",Gallagher-Foster,0
Christopher Yates,45,6452.83,1,4.41,6,8/20/2012 15:56,"PSC 7127, Box 3035 APO AP 88800-1111","Hernandez, Middleton and Brewer",0
Cynthia Daniels,31,8688.21,0,3.58,7,9/6/2007 18:15,"496 Klein Ports Quinnstad, NE 67656",Jackson-Terry,0
Kellie Ryan,32,12254.75,1,5.32,9,5/26/2014 11:13,"275 Patricia Hills Ronnieborough, AK 71437-9508","Reeves, Flores and Bauer",0
David Payne,39,5914.3,1,2.3,9,3/30/2008 6:50,"882 Schneider Inlet Paigeburgh, NJ 33304",Aguirre LLC,0
Henry Cook,45,11486.53,1,5.5,7,12/8/2009 0:18,"071 Michelle Green New Jasonview, AL 90525-9261","Newton, Shepard and Berg",0
Jamie Moore,51,6114.85,1,4.7,9,11/10/2013 1:54,"435 Hernandez Inlet Apt. 727 Josephfort, RI 51403",Herrera-Dodson,0
Kimberly Lewis,52,11828.78,0,5.95,10,9/17/2013 17:17,Unit 6752 Box 0928 DPO AA 53116-2490,Fischer-Garrison,0
Darren Chavez,35,10166.67,0,4.65,10,11/17/2009 17:45,"PSC 5667, Box 8312 APO AP 00654","Hatfield, Lane and Solomon",0
Andrea George,43,12691.45,0,4.45,11,9/19/2014 8:46,"9089 Jennifer Brooks Suite 571 New Lisa, WA 53342-5359","Johnson, Fields and Anderson",0
Luis Evans,45,9903.78,1,5.31,9,5/19/2009 7:17,"9273 Scott Springs Suite 665 Mcintyreland, DC 54306","Coffey, Lopez and Taylor",0
Jonathan Collier,46,10363.63,0,5.84,10,8/10/2016 20:11,Unit 2672 Box 5909 DPO AE 56165-8636,"Turner, Hodges and Turner",0
James Adkins,35,8475.8,0,3.37,11,9/10/2013 12:56,"2311 Henderson Centers Conniehaven, MP 16886-3947","Taylor, Reynolds and Hoffman",0
Tamara Keith,39,13091.92,1,4.74,9,1/13/2014 13:54,"82367 Austin Square Suite 115 New Cheyenne, UT 08356-0301",Mueller Ltd,0
Teresa Thompson,37,13036.52,1,3.83,6,2/26/2009 12:56,"762 Donald Field Suite 361 South Ronald, ME 08806","Snow, Martin and Fowler",0
Andrea Ortiz,40,9521.35,0,5.8,9,1/12/2009 14:37,"7645 Huff Lights Suite 209 Stephenmouth, GA 01888","Barron, Tapia and Black",0
Stefanie Miranda,37,5039.46,0,4.08,8,9/12/2007 16:27,"002 Gutierrez Mountains Hayesburgh, GU 73502-4691",Morrison-Pennington,0
Becky Cardenas,51,13762.79,0,7.52,9,9/11/2006 4:55,"9103 David Drives Wilsonport, PA 79287",Lewis LLC,0
Maria Stanley,46,8941.92,1,5.43,9,1/15/2010 17:22,"17836 Julie Drives North Thomas, MI 27198","Conner, Munoz and Wilson",0
Judy Montes,32,12479.72,0,4.67,8,3/20/2015 2:09,"405 Amanda Junctions West Dustinshire, MH 84757-2573",Fischer PLC,0
Nicole Williams,41,9139.73,1,5.15,10,8/21/2011 1:38,"05077 Richard Lane Apt. 002 New Tracy, FM 56599-7849","Bautista, Strong and Campbell",0
Dalton Sexton,46,10406.58,0,7.24,11,10/24/2015 15:49,"91864 Tommy Manor Suite 933 East Tyrone, MN 86821","Hall, Taylor and Charles",0
Michael Payne,44,11768.65,0,5.54,7,3/6/2006 0:42,"59672 Nash Cove Apt. 855 Jeremyshire, GU 93725",Campbell-Davenport,0
Keith Bowman,46,14664,0,6.54,8,9/30/2012 2:34,"36569 Richard Run Jacksonmouth, MN 02512",Garrett-Turner,0
Jason Phillips,46,8418.81,1,7.19,6,9/29/2014 0:31,"8928 Benjamin Summit Suite 264 North Samanthabury, AR 01364-7776",Davis-Bass,0
Christopher Daniels,34,6461.86,1,4.61,8,10/15/2008 13:31,"88563 Jeffery Manor North Mathew, OK 19970-2973",Schultz-Newman,0
Lindsey Moreno,39,14317.2,0,5.03,7,12/2/2014 15:56,"38769 Zachary Road Apt. 706 Port Michaelview, MA 73304-2019",Davies-Braun,0
James Evans,42,4492.44,1,6.43,9,1/16/2013 16:29,"17140 Andrea Motorway Apt. 798 Amychester, WV 88972-7283",Hughes Ltd,0
Kristine Moreno,29,13240.01,1,4.58,6,8/9/2012 16:07,"541 Mills Rest Lake Cynthia, PR 71752",Garcia Ltd,0
Stefanie Whitaker,35,7814.68,1,5.99,9,8/27/2013 0:56,"7967 Waters Way Suite 678 New Ericport, HI 48528",King-Frye,0
Monica Todd,35,11255.38,0,6.28,4,4/4/2007 8:32,"104 Ruben Rapid Apt. 107 New Andrea, FM 58602",Peterson PLC,0
